TABLE_NAME	COLUMN_NAME	CONSTRAINT_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
performance_feedback_response	request_id	performance_feedback_response_ibfk_1	performance_feedback_request	request_id
pip_checkpoint	pip_id	pip_checkpoint_ibfk_1	pip_record	id
portal_roster_aggregate	cycle_id	portal_roster_aggregate_ibfk_1	weekly_roster_cycle	id
portal_roster_aggregate	process_id	portal_roster_aggregate_ibfk_2	process_master	id
process_configuration	process_id	fk_process_configuration_process	process_master	id
process_master	branch_id	process_master_ibfk_1	branch_master	id
process_master	client_id	fk_process_client	client_master	id
process_revenue_daily	contract_id	fk_prd_contract	client_contract_master	id
process_weekoff_capacity	process_id	process_weekoff_capacity_ibfk_1	process_master	id
process_weekoff_day_rule	branch_id	fk_pwdr_branch	branch_master	id
process_weekoff_day_rule	process_id	fk_pwdr_process	process_master	id
process_weekoff_rule	process_id	fk_pwr_process	process_master	id
profile_update_approval	employee_id	fk_profile_upd_emp	employees	id
pulse_response	employee_id	pulse_response_ibfk_2	employees	id
pulse_response	pulse_id	pulse_response_ibfk_1	pulse_check	id
reporting_hierarchy	employee_id	reporting_hierarchy_ibfk_1	employees	id
reporting_hierarchy	reports_to_employee_id	reporting_hierarchy_ibfk_2	employees	id
role_kpi_snapshot	employee_id	role_kpi_snapshot_ibfk_1	employees	id
roster_assignment	employee_id	roster_assignment_ibfk_1	employees	id
roster_assignment	shift_template_id	roster_assignment_ibfk_2	wfm_shift_template	id
roster_change_log	cycle_id	roster_change_log_ibfk_1	weekly_roster_cycle	id
roster_coverage_action	cycle_id	roster_coverage_action_ibfk_1	weekly_roster_cycle	id
roster_daily_assignment	cycle_id	roster_daily_assignment_ibfk_1	weekly_roster_cycle	id
roster_daily_assignment	dispute_resolved_by	fk_rda_dispute_resolver	employees	id
roster_daily_assignment	employee_id	roster_daily_assignment_ibfk_2	employees	id
roster_daily_assignment	shift_template_id	roster_daily_assignment_ibfk_3	wfm_shift_template	id
roster_decision_audit	employee_id	fk_rda_employee	employees	id
roster_decision_audit	run_id	fk_rda_run	roster_generation_run	id
roster_generation_log	generated_by	roster_generation_log_ibfk_3	employees	id
roster_generation_log	process_id	roster_generation_log_ibfk_2	process_master	id
roster_generation_log	template_id	roster_generation_log_ibfk_1	roster_template	id
roster_generation_run	cycle_id	fk_rgr_cycle	weekly_roster_cycle	id
roster_template	created_by	roster_template_ibfk_2	employees	id
roster_template	process_id	roster_template_ibfk_1	process_master	id
rta_roster_sync_log	cycle_id	fk_rrsl_cycle	weekly_roster_cycle	id
salary_advance_log	employee_id	salary_advance_log_ibfk_1	employees	id
salary_increment_audit_log	request_id	fk_increment_audit_request	salary_increment_request	id
salary_increment_letter	employee_id	fk_increment_letter_employee	employees	id
salary_increment_letter	request_id	fk_increment_letter_request	salary_increment_request	id
salary_increment_request	current_assignment_id	fk_increment_current_assignment	employee_salary_assignment	id
salary_increment_request	employee_id	fk_increment_employee	employees	id
salary_increment_request	new_assignment_id	fk_increment_new_assignment	employee_salary_assignment	id
salary_payslip	employee_id	salary_payslip_ibfk_2	employees	id
salary_payslip	prep_line_id	salary_payslip_ibfk_1	salary_prep_line	id
salary_prep_line	employee_id	salary_prep_line_ibfk_2	employees	id
salary_prep_line	run_id	salary_prep_line_ibfk_1	salary_prep_run	id
salary_run_manual_tds	run_id	fk_srmt_run	salary_prep_run	id
salary_structure_component	component_id	salary_structure_component_ibfk_2	salary_component_master	id
salary_structure_component	structure_id	salary_structure_component_ibfk_1	salary_structure_master	id
shrinkage_daily_snapshot	branch_id	shrinkage_daily_snapshot_ibfk_2	branch_master	id
shrinkage_daily_snapshot	process_id	shrinkage_daily_snapshot_ibfk_1	process_master	id
survey_question	survey_id	survey_question_ibfk_1	survey_template	id
survey_response	employee_id	survey_response_ibfk_3	employees	id
survey_response	question_id	survey_response_ibfk_2	survey_question	id
survey_response	survey_id	survey_response_ibfk_1	survey_template	id
task_template_item	task_id	task_template_item_ibfk_2	task_master	id
task_template_item	template_id	task_template_item_ibfk_1	task_template	id
tax_declaration_form12bb_detail	declaration_id	fk_tax12bb_declaration	tax_declaration	id
upload_batch_row	upload_batch_id	upload_batch_row_ibfk_1	upload_batch	id
user_notification_preferences	user_id	fk_user_notification_preferences_user	auth_user	id
user_roles	role_key	user_roles_ibfk_1	workforce_role_catalog	role_key
week_off_preference	approved_by	week_off_preference_ibfk_2	employees	id
week_off_preference	employee_id	week_off_preference_ibfk_1	employees	id
weekly_roster_cycle	branch_id	weekly_roster_cycle_ibfk_2	branch_master	id
weekly_roster_cycle	process_id	weekly_roster_cycle_ibfk_1	process_master	id
weekoff_allocation_log	employee_id	weekoff_allocation_log_ibfk_2	employees	id
weekoff_allocation_log	preference_id	weekoff_allocation_log_ibfk_3	week_off_preference	id
weekoff_allocation_log	process_id	weekoff_allocation_log_ibfk_1	process_master	id
weekoff_preference_notification	employee_id	weekoff_preference_notification_ibfk_1	employees	id
weekoff_preference_notification	preference_id	weekoff_preference_notification_ibfk_2	week_off_preference	id
wfm_attendance_session	employee_id	wfm_attendance_session_ibfk_1	employees	id
wfm_break_log	employee_id	wfm_break_log_ibfk_2	employees	id
wfm_break_log	session_id	wfm_break_log_ibfk_1	wfm_attendance_session	id
wfm_coverage_snapshot	branch_id	wfm_coverage_snapshot_ibfk_2	branch_master	id
wfm_coverage_snapshot	process_id	wfm_coverage_snapshot_ibfk_1	process_master	id
wfm_external_punch_staging	device_id	wfm_external_punch_staging_ibfk_1	wfm_facial_device_master	id
wfm_facial_device_master	branch_id	wfm_facial_device_master_ibfk_1	branch_master	id
wfm_process_planning_rule	branch_id	fk_wppr_branch	branch_master	id
wfm_process_planning_rule	process_id	fk_wppr_process	process_master	id
wfm_roster_assignment	employee_id	wfm_roster_assignment_ibfk_1	employees	id
wfm_roster_assignment	plan_id	wfm_roster_assignment_ibfk_3	wfm_roster_plan	id
wfm_roster_assignment	shift_id	wfm_roster_assignment_ibfk_2	wfm_shift_master	id
wfm_roster_conflict_log	employee_id	wfm_roster_conflict_log_ibfk_1	employees	id
wfm_roster_plan	branch_id	wfm_roster_plan_ibfk_2	branch_master	id
wfm_roster_plan	process_id	wfm_roster_plan_ibfk_1	process_master	id
wfm_roster_plan	shift_id	wfm_roster_plan_ibfk_3	wfm_shift_master	id
wfm_roster_swap_request	requester_emp_id	wfm_roster_swap_request_ibfk_1	employees	id
wfm_roster_swap_request	swap_with_emp_id	wfm_roster_swap_request_ibfk_2	employees	id
wfm_shift_template	branch_id	wfm_shift_template_ibfk_2	branch_master	id
wfm_shift_template	process_id	wfm_shift_template_ibfk_1	process_master	id
wfm_slot_requirement	branch_id	fk_wsr_branch	branch_master	id
wfm_slot_requirement	planning_rule_id	fk_wsr_rule	wfm_process_planning_rule	id
wfm_slot_requirement	process_id	fk_wsr_process	process_master	id
