TABLE_NAME	COLUMN_NAME	SEQ_IN_INDEX	NON_UNIQUE	INDEX_NAME
ats_onboarding_task_templates	id	1	0	PRIMARY
ats_onboarding_tasks	candidate_id	1	1	idx_candidate
ats_onboarding_tasks	is_completed	1	1	idx_status
ats_onboarding_tasks	id	1	0	PRIMARY
ats_payroll_hr_validation	candidate_id	1	1	idx_candidate
ats_payroll_hr_validation	validation_status	1	1	idx_status
ats_payroll_hr_validation	id	1	0	PRIMARY
ats_pii_redaction_config	role_key	1	1	idx_role_entity
ats_pii_redaction_config	entity_type	2	1	idx_role_entity
ats_pii_redaction_config	id	1	0	PRIMARY
ats_pii_redaction_config	role_key	1	0	uq_role_entity_field
ats_pii_redaction_config	entity_type	2	0	uq_role_entity_field
ats_pii_redaction_config	field_name	3	0	uq_role_entity_field
ats_queue_token	arrival_time	1	1	idx_arrival_time
ats_queue_token	candidate_id	1	1	idx_candidate
ats_queue_token	expires_at	1	1	idx_expires_at
ats_queue_token	branch_name	1	1	idx_queue_branch_status
ats_queue_token	queue_status	2	1	idx_queue_branch_status
ats_queue_token	created_at	1	1	idx_queue_created_at
ats_queue_token	status	1	1	idx_status
ats_queue_token	token	1	1	idx_token
ats_queue_token	id	1	0	PRIMARY
ats_queue_token	candidate_id	1	0	uq_candidate_active_token
ats_queue_token	active_flag	2	0	uq_candidate_active_token
ats_queue_token_history	candidate_id	1	1	idx_candidate
ats_queue_token_history	created_at	1	1	idx_created_at
ats_queue_token_history	queue_token_id	1	1	idx_queue_token
ats_queue_token_history	id	1	0	PRIMARY
ats_recruiter	active_status	1	1	idx_recruiter_active
ats_recruiter	sort_order	2	1	idx_recruiter_active
ats_recruiter	id	1	0	PRIMARY
ats_recruiter_assignment_log	candidate_id	1	1	idx_candidate
ats_recruiter_assignment_log	new_recruiter_id	1	1	idx_recruiter
ats_recruiter_assignment_log	id	1	0	PRIMARY
ats_recruiter_device	recruiter_code	1	1	idx_ats_device_recruiter
ats_recruiter_device	is_active	2	1	idx_ats_device_recruiter
ats_recruiter_device	id	1	0	PRIMARY
ats_recruiter_device	device_token	1	0	uk_ats_device_token
ats_recruiter_roster	branch	1	1	idx_ats_recruiter_branch_avail
ats_recruiter_roster	available_today	2	1	idx_ats_recruiter_branch_avail
ats_recruiter_roster	active_status	3	1	idx_ats_recruiter_branch_avail
ats_recruiter_roster	email	1	1	idx_ats_recruiter_email
ats_recruiter_roster	employee_id	1	1	idx_ats_recruiter_employee
ats_recruiter_roster	id	1	0	PRIMARY
ats_recruiter_roster	recruiter_code	1	0	uk_ats_recruiter_code
ats_recruiter_session	expires_at	1	1	idx_expires_at
ats_recruiter_session	recruiter_id	1	1	idx_recruiter_active
ats_recruiter_session	is_active	2	1	idx_recruiter_active
ats_recruiter_session	session_token	1	1	idx_session_token
ats_recruiter_session	id	1	0	PRIMARY
ats_recruiter_session	session_token	1	0	session_token
ats_sensitive_action_log	action_type	1	1	idx_action_type
ats_sensitive_action_log	actor_user_id	1	1	idx_actor
ats_sensitive_action_log	created_at	1	1	idx_created_at
ats_sensitive_action_log	id	1	0	PRIMARY
ats_sourcing_channel	channel_code	1	0	channel_code
ats_sourcing_channel	id	1	0	PRIMARY
ats_voc_lookup	stage	1	1	idx_ats_voc_stage
ats_voc_lookup	active_status	2	1	idx_ats_voc_stage
ats_voc_lookup	id	1	0	PRIMARY
ats_voc_lookup	stage	1	0	uk_ats_voc
ats_voc_lookup	voc_rejection	2	0	uk_ats_voc
attendance_daily_record	branch_id	1	1	branch_id
attendance_daily_record	record_date	1	1	idx_adr_date
attendance_daily_record	employee_id	1	1	idx_adr_emp_date
attendance_daily_record	record_date	2	1	idx_adr_emp_date
attendance_daily_record	is_locked	1	1	idx_adr_locked
attendance_daily_record	process_id	1	1	idx_adr_process
attendance_daily_record	record_date	1	1	idx_adr_record_date_status
attendance_daily_record	attendance_status	2	1	idx_adr_record_date_status
attendance_daily_record	source_system	1	1	idx_adr_source_date
attendance_daily_record	source_record_date	2	1	idx_adr_source_date
attendance_daily_record	source_system	1	1	idx_adr_source_sys
attendance_daily_record	attendance_status	1	1	idx_adr_status
