TABLE_NAME	COLUMN_NAME	CONSTRAINT_NAME
reporting_hierarchy	id	PRIMARY
reporting_manager_change_request	id	PRIMARY
resignation_discussion	id	PRIMARY
resignation_discussion_note	id	PRIMARY
retention_offer	id	PRIMARY
reward_catalog	id	PRIMARY
rm_change_requests	id	PRIMARY
role_kpi_snapshot	id	PRIMARY
role_page_access	id	PRIMARY
roster_assignment	id	PRIMARY
roster_change_log	id	PRIMARY
roster_coverage_action	id	PRIMARY
roster_daily_assignment	id	PRIMARY
roster_decision_audit	id	PRIMARY
roster_generation_log	id	PRIMARY
roster_generation_run	id	PRIMARY
roster_template	id	PRIMARY
rta_roster_sync_log	id	PRIMARY
salary_advance_log	id	PRIMARY
salary_band_master	id	PRIMARY
salary_component_assignments	id	PRIMARY
salary_component_master	id	PRIMARY
salary_deduction_rule	id	PRIMARY
salary_exception_proposal	id	PRIMARY
salary_increment_audit_log	id	PRIMARY
salary_increment_letter	id	PRIMARY
salary_increment_request	id	PRIMARY
salary_package_master	id	PRIMARY
salary_payslip	id	PRIMARY
salary_prep_line	id	PRIMARY
salary_prep_line_adjustment	id	PRIMARY
salary_prep_line_component	id	PRIMARY
salary_prep_run	id	PRIMARY
salary_proposal	id	PRIMARY
salary_register	id	PRIMARY
salary_register_audit_log	id	PRIMARY
salary_run_manual_tds	id	PRIMARY
salary_slab_master	id	PRIMARY
salary_structure_component	id	PRIMARY
salary_structure_master	id	PRIMARY
schema_migrations	filename	PRIMARY
sensitive_action_log	id	PRIMARY
sensitive_data_access_log	id	PRIMARY
shift_flexibility_config	id	PRIMARY
shrinkage_daily_snapshot	id	PRIMARY
skill_master	id	PRIMARY
sms_config	id	PRIMARY
smtp_config	id	PRIMARY
source_sync_watermark	id	PRIMARY
statutory_config	id	PRIMARY
stg_legacy_attendance	id	PRIMARY
stg_legacy_branch_master	id	PRIMARY
stg_legacy_employee_master	id	PRIMARY
support_role_ratio	id	PRIMARY
survey_master	survey_id	PRIMARY
survey_question	id	PRIMARY
survey_response	id	PRIMARY
survey_template	id	PRIMARY
sync_log	id	PRIMARY
task_escalation_log	id	PRIMARY
task_master	id	PRIMARY
task_tat_instance	id	PRIMARY
task_template	id	PRIMARY
task_template_item	id	PRIMARY
tat_matrix_master	id	PRIMARY
tax_declaration	id	PRIMARY
tax_declaration_form12bb_detail	declaration_id	PRIMARY
tenant_config	id	PRIMARY
tenant_module_config	id	PRIMARY
training_need	id	PRIMARY
transfer_record	id	PRIMARY
upload_batch	id	PRIMARY
upload_batch_row	id	PRIMARY
upload_template_master	id	PRIMARY
user_assignment_scope	id	PRIMARY
user_hr_request	id	PRIMARY
user_notification_preferences	id	PRIMARY
user_page_access	id	PRIMARY
user_page_access_audit	id	PRIMARY
user_roles	id	PRIMARY
vendor_master	id	PRIMARY
vendor_payment_tracking	id	PRIMARY
walkin_queue	id	PRIMARY
week_off_preference	id	PRIMARY
weekly_roster_cycle	id	PRIMARY
weekoff_allocation_log	id	PRIMARY
weekoff_preference_notification	id	PRIMARY
wfm_attendance_session	id	PRIMARY
wfm_break_log	id	PRIMARY
wfm_client_slot_requirement	id	PRIMARY
wfm_coverage_snapshot	id	PRIMARY
wfm_external_punch_staging	id	PRIMARY
wfm_facial_device_master	id	PRIMARY
wfm_process_planning_rule	id	PRIMARY
wfm_roster_acknowledgement	id	PRIMARY
wfm_roster_approval_log	id	PRIMARY
wfm_roster_assignment	id	PRIMARY
wfm_roster_assignment_control	assignment_id	PRIMARY
wfm_roster_change_request	id	PRIMARY
wfm_roster_conflict_log	id	PRIMARY
wfm_roster_coverage_matrix	id	PRIMARY
wfm_roster_event_log	id	PRIMARY
wfm_roster_manager_task	id	PRIMARY
wfm_roster_notification_log	id	PRIMARY
wfm_roster_plan	id	PRIMARY
wfm_roster_plan_control	plan_id	PRIMARY
wfm_roster_swap_request	id	PRIMARY
wfm_shift_master	id	PRIMARY
wfm_shift_template	id	PRIMARY
wfm_slot_requirement	id	PRIMARY
work_inbox_item	id	PRIMARY
work_item	id	PRIMARY
work_item_audit_log	id	PRIMARY
workforce_mandate	id	PRIMARY
workforce_role_catalog	id	PRIMARY
workforce_roster_draft	id	PRIMARY
